".model","armse","amae","amape","srmse","smae","smape","h","i"
"bu",4184.42738282884,3700.56407700569,27.1725458501889,10035.3693025125,8663.13163486888,18.1743350744676,2,149
"mint",3605.8018882693,3105.5942340791,25.1485949270928,8664.61058184309,7276.98311603085,16.0058580409922,2,149
"ols",4194.26263478195,3712.45060628214,32.116681252077,10068.7249892588,8709.5649723322,36.7957467593707,2,149
"wlss",4252.23418898509,3750.33718177891,21.8205550518358,10278.3093288831,8870.45383382386,18.7022866586998,2,149
"wlsv",4139.50359169656,3634.66246589046,27.0025244803455,9930.15957066482,8496.57581487852,18.2745063905635,2,149
"base",5702.24090058887,5633.6060549791,26.6903069505706,15116.270862817,15039.7825069841,16.349370502445,2,150
"bu",5724.80059871738,5661.87964090419,26.6643888018835,15184.8915389181,15119.1706116263,16.351566296385,2,150
"mint",5755.55857746983,5684.84784642027,26.2135644830774,15402.663450797,15294.0024950864,15.6802795943618,2,150
"ols",5970.20363511832,5896.48761056078,24.4698141840114,15645.1091719953,15543.4204000917,12.527147148187,2,150
"wlss",5969.32621289852,5899.55323163214,27.0813530354642,15595.8235282326,15514.5399500909,15.988648331183,2,150
"wlsv",5915.30848715301,5840.02688456764,26.9571830144626,15768.2993087883,15669.8062007991,16.6131567360571,2,150
"base",6107.65907396677,5932.81873485612,24.0288081663606,15115.225653641,14992.3421073284,16.2380766328507,2,151
"bu",6092.69989834105,5918.85133498201,24.0977328764832,15065.3774552867,14963.0684646549,15.9517574358201,2,151
"mint",5723.61840786545,5546.00645557187,23.1638243787159,14093.3262297149,14001.849231409,15.0076048104089,2,151
"ols",6219.51764100536,6068.09805290609,44.0288017291259,15273.653930299,15191.5763717533,54.401864550279,2,151
"wlss",6212.99823771484,6040.69224601449,29.4903279568226,15305.7363253543,15210.0670044915,30.5202297250218,2,151
"wlsv",6067.59417144033,5900.13875105216,23.9516236726703,15008.7356133141,14903.7605874192,15.7951218415116,2,151
"base",5932.91205496016,5896.35767039985,23.330994780184,13359.1748061804,13362.3063379366,11.6318512623342,2,152
"bu",5852.20937358861,5812.92182006252,23.4936486265024,13115.675618699,13116.4062969211,12.1164683703703,2,152
"mint",5941.5345220201,5906.41610198496,23.4445020829346,13395.7742999743,13397.1282740302,11.4659940617405,2,152
"ols",6019.40142076251,5986.95045311295,24.1927651196251,13409.5319355394,13410.2898596811,14.2200501056522,2,152
"wlss",5992.73023698947,5958.45282022814,25.7750207300421,13402.1605081771,13403.4301941918,16.2925638097526,2,152
"wlsv",5984.0284567561,5945.54000972796,23.3974471344604,13467.8273874717,13469.462321745,11.9142972615722,2,152
"base",5579.12513041328,5483.44133289109,27.1531751012663,11693.3353336878,11510.4360451821,20.0448431168234,3,140
"bu",5593.30548740538,5509.26082347273,26.8169091760118,11721.9284072713,11573.3231060066,19.0231388889489,3,140
"mint",4535.20435014291,4422.60166183189,23.1017411170039,9739.83278639827,9556.5149785775,33.1257107881144,3,140
"ols",5736.69965139841,5643.44871815276,61.7870600333363,11971.015340024,11810.7581960382,119.934232499154,3,140
"wlss",5637.73905485192,5550.96522987186,47.398053809903,11827.7556076954,11682.9835700443,87.769419107821,3,140
"wlsv",5627.35816880641,5539.0310328797,26.6937256522115,11925.7304195347,11769.2169525013,20.3130799403707,3,140
"base",4835.92915478182,4117.38997144678,28.0597072031996,10174.0717873606,8468.63691520346,31.2139794139392,3,141
"bu",4872.56875747065,4146.77307933939,27.6902923151155,10267.875555838,8542.05957560765,30.386407768057,3,141
"mint",4744.01554759677,4108.09204860763,29.5887908492144,10087.3670637566,8611.55301367424,37.0385656927249,3,141
"ols",5035.2583877941,4292.96969465444,33.4918211486751,10443.6422511393,8662.03589928703,36.0302825154137,3,141
"wlss",4999.22566839434,4242.4024933827,22.3646337437016,10455.1873987252,8640.77584720892,10.9400522210471,3,141
"wlsv",4959.68710079749,4178.08630436414,27.4207139136113,10479.6480550206,8614.71487366575,29.0770158652111,3,141
"base",3039.39937811158,2352.05263006733,23.0017715527957,5964.83298018578,4351.69476634596,18.6331686977557,3,142
"bu",3099.21132526989,2410.74216285797,23.297509639671,6097.75343863792,4475.57624478969,18.4993741537082,3,142
"mint",3027.12422980155,2516.93971494829,29.4212183516442,5775.83822698245,4723.84724197327,28.6993581023708,3,142
