".model","armse","amae","amape","srmse","smae","smape","h","i"
"base",18757.3010359249,18720.1109211835,18.7490725432188,30667.1104568391,30665.4421691877,3.96846690828263,3,151
"bu",18223.1369865322,18188.7833494876,19.1511132975547,29646.9962255858,29646.8652178213,3.0641868868347,3,151
"mint",16931.1539682325,16875.2155933024,18.7158538419828,27002.0600342516,26978.1146137284,4.8152765518466,3,151
"ols",18522.6419287128,18484.692933586,23.697345729952,29173.6823170694,29163.0885500634,3.79394215492291,3,151
"wlss",18501.5299027723,18483.1216391238,19.4563486693678,29713.3825393257,29697.966793526,6.27333328307017,3,151
"wlsv",18005.7266497891,17966.120595722,18.856326934657,29285.7374638651,29281.2872811873,3.0161113774314,3,151
"base",20072.2083641384,19679.0545657821,20.9229982137003,32101.5943368008,31521.0909040132,3.15202893414129,4,139
"bu",19381.169863992,18958.0563272,19.4693818829723,31206.2273308935,30589.604335908,3.96752612231827,4,139
"mint",18833.8282610996,18386.8806991806,17.2830321782047,30601.381396591,29957.5260487669,5.12903731841136,4,139
"ols",19699.9325386469,19299.0564833047,18.5917784041385,31767.6699626696,31160.6214553088,4.81777904462037,4,139
"wlss",19854.4917541244,19443.0662709042,20.7360156490775,31819.6400026987,31209.4248185421,3.40078952985158,4,139
"wlsv",19692.8253677442,19279.6256820765,19.917497616346,31704.2862339749,31093.6606049652,3.97287683060758,4,139
"base",14792.0492909624,13062.4206179435,15.5072050040888,23779.6964987643,20931.8553472668,3.071016748778,4,140
"bu",14449.4909033108,12536.173180123,16.0175384701178,22713.0501023959,19637.7777432771,1.24502548176003,4,140
"mint",12100.186892025,10709.6678378019,12.4913267346669,19365.4196379363,17236.729541808,2.0781699625266,4,140
"ols",14799.3523813579,13022.9429669112,16.4632526416999,23673.638749353,20719.9362700384,3.54138795796444,4,140
"wlss",14655.9128491702,12885.5236421465,15.7937487601451,23281.3557875963,20403.0017256869,1.96645264337515,4,140
"wlsv",14614.9644599022,12831.3475059647,15.9832504532223,23172.782054684,20275.8388898839,1.98097763996029,4,140
"base",13309.4472327397,10092.1558391871,16.139781018135,20479.3499572193,15212.8900047639,4.40820485822977,4,141
"bu",12765.3973110552,9827.03104529448,16.1626706430707,19546.6317332363,14745.5657465023,4.99896142809807,4,141
"mint",12383.5174049677,9538.75691852911,16.7777625458259,18894.3454682534,14227.9849908634,5.59007934801666,4,141
"ols",13166.2413875977,10087.5508517505,16.7902192367483,20218.798320074,15172.2619821423,4.60773901406052,4,141
"wlss",13160.2295174279,10068.7707394631,15.7260521872921,20281.8088549498,15225.268962768,4.41592456982021,4,141
"wlsv",13019.3777704721,9961.66262215746,16.3594413725407,19975.9761727125,14967.4446528783,4.83703129792773,4,141
"base",10178.6583063745,7706.28941182635,14.9160487770501,15308.3580210401,11539.6442872792,4.62970494073181,4,142
"bu",9276.57902762823,7331.79319641805,14.1569570988692,13971.4045742871,11018.0610341238,3.94765249624493,4,142
"mint",8556.17097608387,7283.70314885058,16.2246158379459,12295.8882556929,10613.0516142661,6.23384743873512,4,142
"ols",9948.0948693313,7577.20870053599,17.0064394398666,14886.5079652433,11324.5392109081,7.28568466530709,4,142
"wlss",9613.58598075351,7376.24962882217,14.6270945504595,14378.6902761079,10994.8758776973,4.43643332989728,4,142
"wlsv",9765.89504744342,7510.74454758185,14.3434797935239,14754.0010486792,11322.7916319131,3.96250805810858,4,142
"base",5891.29605513402,3936.86839479296,12.591552345567,8183.45165517659,5375.31817830896,6.90699809168885,4,143
"bu",5665.92076716507,4068.89127302082,13.08749897389,7666.43450642747,5551.65449534946,6.97707493676213,4,143
"mint",5758.88333570359,4368.32518891112,14.4925759416844,7641.80830905564,5815.82777682982,7.60177399235565,4,143
"ols",5786.13492422432,3875.8913920294,12.9559003682424,7932.09901444904,5215.12650568047,7.38362482568934,4,143
"wlss",5786.80187553882,3960.14758572537,13.3913011592537,7944.75149738522,5314.76114779144,7.7381883252732,4,143
"wlsv",5820.32971958789,3914.72011720594,12.6746214701506,7983.1796894387,5341.71983956379,6.94191346625898,4,143
"base",9717.3226455183,7747.86005927037,18.1277296802033,14141.4641514485,11271.1158821383,7.2780692232136,4,144
"bu",9061.88531937297,7172.27445222088,15.9872356932198,13407.2796355044,10795.1801509835,7.47138989573807,4,144
